Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human chromosome/scaffold end (bp)
ENSMUSG00000030888	Rrp8	ENSG00000132275	RRP8	11	6595072	6603616
ENSMUSG00000055762	Eef1d	ENSG00000104529	EEF1D	8	143579697	143599541
ENSMUSG00000103677	Pcdhga4	ENSG00000262576	PCDHGA4	5	141355021	141512975
ENSMUSG00000096656	Trav12-2	ENSG00000211798	TRAV18	14	22003106	22003673
ENSMUSG00000000148	Brat1	ENSG00000106009	BRAT1	7	2537810	2555694
ENSMUSG00000022800	Fyttd1	ENSG00000122068	FYTTD1	3	197737179	197787596
ENSMUSG00000051663	Pcdhb1	ENSG00000171815	PCDHB1	5	141051135	141059344
ENSMUSG00000095958	Trav12-3	ENSG00000211798	TRAV18	14	22003106	22003673
ENSMUSG00000052316	Lrrc15	ENSG00000172061	LRRC15	3	194355247	194369743
ENSMUSG00000006373	Pgrmc1	ENSG00000101856	PGRMC1	X	119236245	119244466
ENSMUSG00000076846	Trav13-2	ENSG00000211802	TRAV22	14	22070557	22071208
ENSMUSG00000051316	Taf7	ENSG00000178913	TAF7	5	141260225	141320821
ENSMUSG00000005973	Rcn1	ENSG00000285283	AL035078.4	11	31812391	32104665
ENSMUSG00000005973	Rcn1	ENSG00000049449	RCN1	11	32090904	32105755
ENSMUSG00000047953	Gp5	ENSG00000178732	GP5	3	194394821	194398354
ENSMUSG00000020456	Ogdh	ENSG00000105953	OGDH	7	44606572	44709066
ENSMUSG00000103310	Pcdha12	ENSG00000239389	PCDHA13	5	140882124	141012347
ENSMUSG00000073678	Pgap1	ENSG00000197121	PGAP1	2	196833004	196927796
ENSMUSG00000048371	Pdp2	ENSG00000172840	PDP2	16	66878589	66895754
ENSMUSG00000055670	Zzef1	ENSG00000074755	ZZEF1	17	4004445	4143030
ENSMUSG00000027790	Sis	ENSG00000090402	SI	3	164978898	165078496
ENSMUSG00000043747	1520401A03Rik	ENSG00000262152	LINC00514	16	2988256	3002016
ENSMUSG00000024313	Mep1b	ENSG00000141434	MEP1B	18	32185069	32220404
ENSMUSG00000021541	Trpc7	ENSG00000069018	TRPC7	5	136213320	136365545
ENSMUSG00000025035	Arl3	ENSG00000138175	ARL3	10	102673731	102714397
ENSMUSG00000030890	Ilk	ENSG00000166333	ILK	11	6603708	6610874
ENSMUSG00000037370	Enpp1	ENSG00000197594	ENPP1	6	131808016	131895155
ENSMUSG00000050954	Zfp169	ENSG00000175787	ZNF169	9	94259311	94301454
ENSMUSG00000056537	Rlim	ENSG00000131263	RLIM	X	74585217	74614617
ENSMUSG00000040576	Tmem270	ENSG00000175877	TMEM270	7	73861159	73865890
ENSMUSG00000026339	Ccdc93	ENSG00000125633	CCDC93	2	117915478	118014133
ENSMUSG00000023036	Pcdhgc4	ENSG00000242419	PCDHGC4	5	141484997	141512979
ENSMUSG00000040034	Nup43	ENSG00000120253	NUP43	6	149724315	149749665
ENSMUSG00000023393	Slc17a9	ENSG00000101194	SLC17A9	20	62952707	62969585
ENSMUSG00000037098	Rab11fip3	ENSG00000090565	RAB11FIP3	16	425649	523011
ENSMUSG00000043681	Fam25c	ENSG00000189090	FAM25G	10	47487219	47491693
ENSMUSG00000043681	Fam25c	ENSG00000188100	FAM25A	10	87020294	87024730
ENSMUSG00000043681	Fam25c	ENSG00000276430	FAM25C	10	47995355	47999791
ENSMUSG00000032584	Mst1r	ENSG00000164078	MST1R	3	49887002	49903873
ENSMUSG00000032366	Tpm1	ENSG00000140416	TPM1	15	63042632	63071915
ENSMUSG00000034041	Lyl1	ENSG00000104903	LYL1	19	13099033	13103161
ENSMUSG00000065979	Cpped1	ENSG00000103381	CPPED1	16	12659799	12803887
ENSMUSG00000029270	Dipk1a	ENSG00000154511	DIPK1A	1	92832737	92961522
ENSMUSG00000044292	Olfr978	ENSG00000236981	OR10G9	11	124023013	124023948
ENSMUSG00000044292	Olfr978	ENSG00000234560	OR10G8	11	124026798	124030634
ENSMUSG00000044292	Olfr978	ENSG00000182634	OR10G7	11	124036013	124041325
ENSMUSG00000044292	Olfr978	ENSG00000254737	OR10G4	11	124012997	124018732
ENSMUSG00000024225	Clps	ENSG00000137392	CLPS	6	35794982	35797344
ENSMUSG00000026971	Itgb6	ENSG00000115221	ITGB6	2	160099667	160200313
ENSMUSG00000108763	Gm36028	ENSG00000026950	BTN3A1	6	26402237	26415208
ENSMUSG00000059473	Olfr979	ENSG00000236981	OR10G9	11	124023013	124023948
ENSMUSG00000059473	Olfr979	ENSG00000234560	OR10G8	11	124026798	124030634
ENSMUSG00000059473	Olfr979	ENSG00000182634	OR10G7	11	124036013	124041325
ENSMUSG00000059473	Olfr979	ENSG00000254737	OR10G4	11	124012997	124018732
ENSMUSG00000029571	Tmem106b	ENSG00000106460	TMEM106B	7	12211270	12243367
ENSMUSG00000060254	Olfr980	ENSG00000236981	OR10G9	11	124023013	124023948
ENSMUSG00000060254	Olfr980	ENSG00000234560	OR10G8	11	124026798	124030634
ENSMUSG00000060254	Olfr980	ENSG00000182634	OR10G7	11	124036013	124041325
ENSMUSG00000060254	Olfr980	ENSG00000254737	OR10G4	11	124012997	124018732
ENSMUSG00000045493	Bhlhe23	ENSG00000125533	BHLHE23	20	63005927	63007035
ENSMUSG00000021257	Angel1	ENSG00000013523	ANGEL1	14	76786178	76826246
ENSMUSG00000095711	Trav14-2	ENSG00000211803	TRAV23DV6	14	22086407	22086961
ENSMUSG00000006526	Stimate	ENSG00000213533	STIMATE	3	52836219	52897548
ENSMUSG00000006526	Stimate	ENSG00000248592	STIMATE-MUSTN1	3	52833121	52897562
ENSMUSG00000072598	Ang6	ENSG00000214274	ANG	14	20684177	20698971
ENSMUSG00000071847	Apcdd1	ENSG00000154856	APCDD1	18	10454635	10489949
ENSMUSG00000014725	Adam28	ENSG00000042980	ADAM28	8	24294040	24359018
ENSMUSG00000039713	Plekhg5	ENSG00000171680	PLEKHG5	1	6466092	6520061
ENSMUSG00000015522	Arnt	ENSG00000143437	ARNT	1	150809713	150876708
ENSMUSG00000035629	Rubcn	ENSG00000145016	RUBCN	3	197668867	197749727
ENSMUSG00000094828	Trav3-3	ENSG00000211779	TRAV5	14	21749178	21749705
ENSMUSG00000104148	Pcdha2	ENSG00000204969	PCDHA2	5	140794852	141012347
ENSMUSG00000007850	Hnrnph1	ENSG00000169045	HNRNPH1	5	179614178	179634784
ENSMUSG00000027984	Hadh	ENSG00000138796	HADH	4	107989714	108035175
ENSMUSG00000036158	Prickle1	ENSG00000139174	PRICKLE1	12	42456757	42590355
ENSMUSG00000034158	Lrrc58	ENSG00000163428	LRRC58	3	120324509	120349354
ENSMUSG00000013275	Slc41a1	ENSG00000133065	SLC41A1	1	205789094	205813748
ENSMUSG00000042680	Garem1	ENSG00000141441	GAREM1	18	32124877	32470882
ENSMUSG00000026204	Ptprn	ENSG00000054356	PTPRN	2	219289623	219309648
ENSMUSG00000031805	Jak3	ENSG00000105639	JAK3	19	17824780	17848071
ENSMUSG00000031143	Ccdc22	ENSG00000101997	CCDC22	X	49235470	49250520
ENSMUSG00000026662	Sephs1	ENSG00000086475	SEPHS1	10	13317428	13348298
ENSMUSG00000026510	Trp53bp2	ENSG00000143514	TP53BP2	1	223779893	223845954
ENSMUSG00000027800	Tm4sf1	ENSG00000169908	TM4SF1	3	149369022	149377692
ENSMUSG00000019851	Perp	ENSG00000112378	PERP	6	138088505	138107419
ENSMUSG00000079104	Prps1l3	ENSG00000147224	PRPS1	X	107628424	107651026
ENSMUSG00000103472	Pcdhga7	ENSG00000253537	PCDHGA7	5	141382739	141512975
ENSMUSG00000026433	Rab29	ENSG00000117280	RAB29	1	205767986	205775482
ENSMUSG00000054752	Fsd1l	ENSG00000106701	FSD1L	9	105447796	105552433
ENSMUSG00000043866	Taf10	ENSG00000166337	TAF10	11	6606294	6612539
ENSMUSG00000052861	Dnah6	ENSG00000115423	DNAH6	2	84516455	84819589
ENSMUSG00000102748	Pcdhgb2	ENSG00000253910	PCDHGB2	5	141360042	141512979
ENSMUSG00000053852	Adgrg4	ENSG00000156920	ADGRG4	X	136300963	136416888
ENSMUSG00000096678	Trav9-4	ENSG00000211782	TRAV8-1	14	21797287	21797886
ENSMUSG00000096678	Trav9-4	ENSG00000211787	TRAV8-3	14	21852558	21853006
ENSMUSG00000099840	Gm21409	ENSG00000139351	SYCP3	12	101728648	101739472
ENSMUSG00000038848	Ythdf1	ENSG00000149658	YTHDF1	20	63195429	63216139
ENSMUSG00000047022	Mipol1	ENSG00000151338	MIPOL1	14	37197913	37552361
ENSMUSG00000044084	Spem2	ENSG00000184560	SPEM2	17	7425616	7427568
ENSMUSG00000102222	Pcdhga10	ENSG00000253846	PCDHGA10	5	141412987	141512979
ENSMUSG00000027022	Xirp2	ENSG00000163092	XIRP2	2	166888487	167259753
ENSMUSG00000028550	Atg4c	ENSG00000125703	ATG4C	1	62784132	62865516
ENSMUSG00000041165	Spem1	ENSG00000181323	SPEM1	17	7420324	7421632
ENSMUSG00000045498	Pcdhb3	ENSG00000113205	PCDHB3	5	141100473	141103827
ENSMUSG00000060257	Scrt2	ENSG00000215397	SCRT2	20	661596	675802
ENSMUSG00000043313	Pcdhb19	ENSG00000120328	PCDHB12	5	141208697	141212571
ENSMUSG00000043313	Pcdhb19	ENSG00000197479	PCDHB11	5	141199582	141203779
ENSMUSG00000035799	Twist1	ENSG00000122691	TWIST1	7	19020991	19117636
ENSMUSG00000041380	Htr2c	ENSG00000147246	HTR2C	X	114584078	114910061
ENSMUSG00000046449	Nexmif	ENSG00000050030	NEXMIF	X	74732856	74925485
ENSMUSG00000034115	Scn11a	ENSG00000168356	SCN11A	3	38845767	39051941
ENSMUSG00000026495	Efcab2	ENSG00000203666	EFCAB2	1	244969705	245127164
ENSMUSG00000043458	Pcdhb12	ENSG00000113209	PCDHB5	5	141135218	141138625
ENSMUSG00000027394	Ttl	ENSG00000114999	TTL	2	112482156	112541739
ENSMUSG00000102918	Pcdhgc3	ENSG00000240184	PCDHGC3	5	141475947	141512977
ENSMUSG00000039556	Ppp1r3f	ENSG00000049769	PPP1R3F	X	49269843	49301461
ENSMUSG00000030605	Mfge8	ENSG00000140545	MFGE8	15	88898683	88913381
ENSMUSG00000053070	Cfap300	ENSG00000137691	CFAP300	11	102047437	102084554
ENSMUSG00000042485	Mustn1	ENSG00000272573	MUSTN1	3	52833114	52835019
ENSMUSG00000042485	Mustn1	ENSG00000243696	AC006254.1	3	52813282	52835729
ENSMUSG00000029916	Agk	ENSG00000006530	AGK	7	141551278	141655244
ENSMUSG00000056973	Ces1d	ENSG00000198848	CES1	16	55802851	55833337
ENSMUSG00000032802	Srxn1	ENSG00000271303	SRXN1	20	646615	653370
ENSMUSG00000021112	Mpp5	ENSG00000072415	MPP5	14	67241109	67335819
ENSMUSG00000078129	Actl10	ENSG00000182584	ACTL10	20	33666943	33668525
ENSMUSG00000038840	Birc7	ENSG00000101197	BIRC7	20	63235883	63240495
ENSMUSG00000040212	Emp3	ENSG00000142227	EMP3	19	48321509	48330553
ENSMUSG00000038523	1700003F12Rik	ENSG00000149609	C20orf144	20	33662327	33665619
ENSMUSG00000068220	Lgals1	ENSG00000100097	LGALS1	22	37675636	37679802
ENSMUSG00000034785	Dio1	ENSG00000211452	DIO1	1	53891239	53911086
ENSMUSG00000022337	Emc2	ENSG00000104412	EMC2	8	108443601	108489196
ENSMUSG00000050164	Mchr1	ENSG00000128285	MCHR1	22	40678750	40682814
ENSMUSG00000008843	Cldn13	ENSG00000189143	CLDN4	7	73799542	73832693
ENSMUSG00000027489	Necab3	ENSG00000125967	NECAB3	20	33657087	33674463
ENSMUSG00000068079	Tcf15	ENSG00000125878	TCF15	20	603797	610398
ENSMUSG00000078503	Zfp990	ENSG00000196378	ZNF34	8	144773114	144787345
ENSMUSG00000055884	Fancm	ENSG00000187790	FANCM	14	45135930	45200890
ENSMUSG00000037636	Slc25a43	ENSG00000077713	SLC25A43	X	119399336	119454478
ENSMUSG00000026278	Bok	ENSG00000176720	BOK	2	241551424	241574131
ENSMUSG00000095607	Trav5-4	ENSG00000211791	TRAV13-2	14	21918188	21918756
ENSMUSG00000095607	Trav5-4	ENSG00000211788	TRAV13-1	14	21868839	21869365
ENSMUSG00000020829	Slc46a1	ENSG00000076351	SLC46A1	17	28394642	28407197
ENSMUSG00000034780	B3galt1	ENSG00000172318	B3GALT1	2	167868948	167874041
ENSMUSG00000044700	Tmem201	ENSG00000188807	TMEM201	1	9588911	9614877
ENSMUSG00000020646	Mboat2	ENSG00000143797	MBOAT2	2	8852690	9003709
ENSMUSG00000103749	Pcdhgb5	ENSG00000276547	PCDHGB5	5	141397987	141512979
ENSMUSG00000095126	Trav6-7-dv9	ENSG00000211793	TRAV9-2	14	21941128	21941657
ENSMUSG00000019487	Trip10	ENSG00000125733	TRIP10	19	6737925	6751530
ENSMUSG00000103332	Pcdhga2	ENSG00000081853	PCDHGA2	5	141338760	141512975
ENSMUSG00000103906	Tigd5	ENSG00000179886	TIGD5	8	143597835	143603224
ENSMUSG00000062604	Srpk2	ENSG00000135250	SRPK2	7	105110704	105399308
ENSMUSG00000024292	Cyp4f14	ENSG00000186115	CYP4F2	19	15878023	15898077
ENSMUSG00000032900	Tex43	ENSG00000196900	TEX43	5	126631705	126636284
ENSMUSG00000003234	Abcf3	ENSG00000161204	ABCF3	3	184186023	184194012
ENSMUSG00000027574	Nkain4	ENSG00000101198	NKAIN4	20	63240784	63272694
ENSMUSG00000103037	Pcdhgb1	ENSG00000254221	PCDHGB1	5	141350102	141512979
ENSMUSG00000015002	Efr3a	ENSG00000132294	EFR3A	8	131904093	132013642
ENSMUSG00000039531	Zup1	ENSG00000153975	ZUP1	6	116635618	116668794
ENSMUSG00000103092	Pcdha5	ENSG00000204965	PCDHA5	5	140821604	141012347
ENSMUSG00000031129	Slc9a9	ENSG00000181804	SLC9A9	3	143265222	143848485
ENSMUSG00000062252	Lhfpl5	ENSG00000197753	LHFPL5	6	35797206	35845397
ENSMUSG00000027395	Polr1b	ENSG00000125630	POLR1B	2	112541915	112577150
ENSMUSG00000103897	Pcdhga8	ENSG00000253767	PCDHGA8	5	141390157	141512979
ENSMUSG00000046961	Gpr156	ENSG00000175697	GPR156	3	120164645	120285094
ENSMUSG00000041341	Atg2b	ENSG00000066739	ATG2B	14	96279195	96363341
ENSMUSG00000075054	Yae1d1	ENSG00000241127	YAE1	7	39566385	39610320
ENSMUSG00000048304	Slitrk3	ENSG00000121871	SLITRK3	3	165186720	165197109
ENSMUSG00000028487	Bnc2	ENSG00000173068	BNC2	9	16409503	16870843
ENSMUSG00000026494	Kif26b	ENSG00000162849	KIF26B	1	245154985	245709432
ENSMUSG00000020332	Meikin	ENSG00000239642	MEIKIN	5	131806990	131945698
ENSMUSG00000072672	Duxbl3	ENSG00000260596	DUX4	4	190173774	190185942
ENSMUSG00000038170	Pde4dip	ENSG00000178104	PDE4DIP	1	148808181	149048286
ENSMUSG00000004814	Ccl24	ENSG00000106178	CCL24	7	75811665	75823356
ENSMUSG00000029004	Kmt2e	ENSG00000005483	KMT2E	7	105014190	105115019
ENSMUSG00000005774	Rfx5	ENSG00000143390	RFX5	1	151340640	151347357
ENSMUSG00000061633	1700029P11Rik	ENSG00000147123	NDUFB11	X	47142216	47145504
ENSMUSG00000038611	Phrf1	ENSG00000070047	PHRF1	11	576470	612222
ENSMUSG00000022574	Naprt	ENSG00000147813	NAPRT	8	143574785	143578649
ENSMUSG00000059114	Lrrc74a	ENSG00000100565	LRRC74A	14	76826372	76870302
ENSMUSG00000002981	Clptm1	ENSG00000104853	CLPTM1	19	44954585	44993341
ENSMUSG00000016319	Slc25a5	ENSG00000005022	SLC25A5	X	119468422	119471396
ENSMUSG00000047033	Pcdhb15	ENSG00000113212	PCDHB7	5	141172619	141176383
ENSMUSG00000071650	Ganab	ENSG00000089597	GANAB	11	62624826	62646726
ENSMUSG00000005936	Kctd20	ENSG00000112078	KCTD20	6	36442767	36491143
ENSMUSG00000029063	Nadk	ENSG00000008130	NADK	1	1751232	1780457
ENSMUSG00000103255	Pcdhac1	ENSG00000248383	PCDHAC1	5	140926369	141012344
ENSMUSG00000044835	Ankrd45	ENSG00000285777	AL139142.2	1	173596060	173669837
ENSMUSG00000044835	Ankrd45	ENSG00000183831	ANKRD45	1	173609561	173669862
ENSMUSG00000020918	Kat2a	ENSG00000108773	KAT2A	17	42113111	42121367
ENSMUSG00000027615	Hps3	ENSG00000163755	HPS3	3	149129584	149173732
ENSMUSG00000020698	Cct6b	ENSG00000132141	CCT6B	17	34927859	34981078
ENSMUSG00000050132	Sarm1	ENSG00000004139	SARM1	17	28364356	28404049
ENSMUSG00000056829	Foxb2	ENSG00000204612	FOXB2	9	77019655	77020953
ENSMUSG00000026280	Atg4b	ENSG00000168397	ATG4B	2	241637213	241673857
ENSMUSG00000031391	L1cam	ENSG00000198910	L1CAM	X	153861514	153886174
ENSMUSG00000039095	En2	ENSG00000164778	EN2	7	155458129	155464831
ENSMUSG00000028411	Aptx	ENSG00000137074	APTX	9	32972606	33025168
ENSMUSG00000032267	Usp28	ENSG00000048028	USP28	11	113797874	113875570
ENSMUSG00000040841	Six5	ENSG00000177045	SIX5	19	45764785	45769252
ENSMUSG00000044715	Gskip	ENSG00000100744	GSKIP	14	96363452	96387288
ENSMUSG00000029437	Il31	ENSG00000204671	IL31	12	122172030	122174199
ENSMUSG00000085601	Gm4969	ENSG00000237452	BHMG1	19	45733251	45764534
ENSMUSG00000039298	Cdk5rap2	ENSG00000136861	CDK5RAP2	9	120388869	120580170
ENSMUSG00000049160	Tex50	ENSG00000232113	TEX50	1	173635338	173637130
ENSMUSG00000063409	Lrrc43	ENSG00000158113	LRRC43	12	122167738	122203471
ENSMUSG00000078735	Il11ra2	ENSG00000137070	IL11RA	9	34650702	34661892
ENSMUSG00000078735	Il11ra2	ENSG00000258728	AL162231.3	9	34646645	34657113
ENSMUSG00000045876	Pcdhb8	ENSG00000113209	PCDHB5	5	141135218	141138625
ENSMUSG00000027983	Cyp2u1	ENSG00000155016	CYP2U1	4	107931549	107953461
ENSMUSG00000037296	Lsm1	ENSG00000175324	LSM1	8	38163335	38176730
ENSMUSG00000046387	Pcdhb17	ENSG00000272674	PCDHB16	5	141181399	141186399
ENSMUSG00000031333	Abcb7	ENSG00000131269	ABCB7	X	75051048	75156732
ENSMUSG00000033099	Nol12	ENSG00000273899	NOL12	22	37681673	37693476
ENSMUSG00000033099	Nol12	ENSG00000100101	Z83844.1	22	37686414	37726503
ENSMUSG00000096826	Ccl27b	ENSG00000213927	CCL27	9	34661880	34664048
ENSMUSG00000050830	Vwc2	ENSG00000188730	VWC2	7	49773638	49921950
ENSMUSG00000051790	Nlgn2	ENSG00000169992	NLGN2	17	7404874	7419860
ENSMUSG00000032118	Fez1	ENSG00000149557	FEZ1	11	125442881	125592568
ENSMUSG00000032633	Flcn	ENSG00000154803	FLCN	17	17212212	17237188
ENSMUSG00000102206	Pcdha11	ENSG00000249158	PCDHA11	5	140868183	141012344
ENSMUSG00000033863	Klf9	ENSG00000119138	KLF9	9	70384597	70414624
ENSMUSG00000027801	Tm4sf4	ENSG00000169903	TM4SF4	3	149473974	149503281
ENSMUSG00000096138	Trav7-6	ENSG00000211794	TRAV12-3	14	21965451	21966061
ENSMUSG00000096138	Trav7-6	ENSG00000211785	TRAV12-1	14	21841240	21841774
ENSMUSG00000096138	Trav7-6	ENSG00000211789	TRAV12-2	14	21887857	21888502
ENSMUSG00000046678	Olfr981	ENSG00000198674	OR10G6	11	123994163	123995161
ENSMUSG00000031965	Tbx20	ENSG00000164532	TBX20	7	35202430	35254147
ENSMUSG00000050428	Fbxo46	ENSG00000177051	FBXO46	19	45710629	45730896
ENSMUSG00000027168	Pax6	ENSG00000007372	PAX6	11	31784779	31817961
ENSMUSG00000038418	Egr1	ENSG00000120738	EGR1	5	138465479	138469303
ENSMUSG00000037938	Chchd5	ENSG00000125611	CHCHD5	2	112584240	112589275
ENSMUSG00000076855	Trav16	ENSG00000211799	TRAV19	14	22007512	22008181
ENSMUSG00000030407	Qpctl	ENSG00000011478	QPCTL	19	45692666	45703989
ENSMUSG00000094562	Trav13-4-dv7	ENSG00000211802	TRAV22	14	22070557	22071208
ENSMUSG00000039917	Rhbdd2	ENSG00000005486	RHBDD2	7	75842602	75888926
ENSMUSG00000053898	Ech1	ENSG00000104823	ECH1	19	38815422	38831841
ENSMUSG00000029647	Pan3	ENSG00000152520	PAN3	13	28138506	28295335
ENSMUSG00000031993	Snx19	ENSG00000120451	SNX19	11	130875436	130916509
ENSMUSG00000031289	Il13ra2	ENSG00000123496	IL13RA2	X	115003975	115019977
ENSMUSG00000025498	Irf7	ENSG00000185507	IRF7	11	612553	615983
ENSMUSG00000049010	Olfr982	ENSG00000196248	OR10S1	11	123976661	123977781
ENSMUSG00000047547	Cltb	ENSG00000175416	CLTB	5	176392455	176416569
ENSMUSG00000030772	Dkk3	ENSG00000050165	DKK3	11	11963106	12009769
ENSMUSG00000026279	Thap4	ENSG00000176946	THAP4	2	241584405	241637158
ENSMUSG00000055067	Smyd3	ENSG00000185420	SMYD3	1	245749342	246507312
ENSMUSG00000023064	Sncg	ENSG00000173267	SNCG	10	86958599	86963258
ENSMUSG00000102742	Pcdhga11	ENSG00000253873	PCDHGA11	5	141421047	141512975
ENSMUSG00000028982	Slc25a33	ENSG00000171612	SLC25A33	1	9539465	9585173
ENSMUSG00000031917	Nip7	ENSG00000132603	NIP7	16	69337996	69343106
ENSMUSG00000021366	Hivep1	ENSG00000095951	HIVEP1	6	12008762	12164999
ENSMUSG00000094212	Trav14-3	ENSG00000211803	TRAV23DV6	14	22086407	22086961
ENSMUSG00000054409	Tmem74	ENSG00000164841	TMEM74	8	108606850	108787594
ENSMUSG00000026509	Capn2	ENSG00000162909	CAPN2	1	223701593	223776018
ENSMUSG00000070394	Tmem256	ENSG00000205544	TMEM256	17	7402975	7404097
ENSMUSG00000070394	Tmem256	ENSG00000262481	TMEM256-PLSCR3	17	7389734	7404097
ENSMUSG00000019990	Pde7b	ENSG00000171408	PDE7B	6	135851701	136195574
ENSMUSG00000066037	Hnrnpr	ENSG00000125944	HNRNPR	1	23303771	23344336
ENSMUSG00000027803	Wwtr1	ENSG00000018408	WWTR1	3	149517235	149736714
ENSMUSG00000109350	Gm44805	ENSG00000234906	APOC2	19	44945971	44949566
ENSMUSG00000052504	Epha3	ENSG00000044524	EPHA3	3	89107621	89482134
ENSMUSG00000027397	Slc20a1	ENSG00000144136	SLC20A1	2	112645939	112663825
ENSMUSG00000054162	Spock3	ENSG00000196104	SPOCK3	4	166733384	167234796
ENSMUSG00000037784	Dzip1l	ENSG00000158163	DZIP1L	3	138061990	138115818
ENSMUSG00000034135	Sik3	ENSG00000160584	SIK3	11	116843402	117098437
ENSMUSG00000071068	Treml2	ENSG00000112195	TREML2	6	41189749	41201149
ENSMUSG00000002992	Apoc2	ENSG00000234906	APOC2	19	44945971	44949566
ENSMUSG00000031919	Tmed6	ENSG00000157315	TMED6	16	69343250	69351786
ENSMUSG00000031919	Tmed6	ENSG00000259900	AC026464.1	16	69335276	69351730
ENSMUSG00000048978	Nrsn1	ENSG00000152954	NRSN1	6	24126186	24154900
ENSMUSG00000074698	Csnk2a1	ENSG00000254598	CSNK2A3	11	11351942	11353357
ENSMUSG00000074698	Csnk2a1	ENSG00000101266	CSNK2A1	20	472498	543835
ENSMUSG00000029771	Irf5	ENSG00000128604	IRF5	7	128937457	128950038
ENSMUSG00000102312	Pcdha3	ENSG00000255408	PCDHA3	5	140801028	141012347
ENSMUSG00000042672	Dcst1	ENSG00000163357	DCST1	1	155033824	155050930
ENSMUSG00000063785	Utp14a	ENSG00000253797	UTP14C	13	52024691	52033600
ENSMUSG00000063785	Utp14a	ENSG00000156697	UTP14A	X	129906121	129929761
ENSMUSG00000056260	Lrif1	ENSG00000121931	LRIF1	1	110947190	110963965
ENSMUSG00000074336	Apoc4	ENSG00000267467	APOC4	19	44942237	44945496
ENSMUSG00000074336	Apoc4	ENSG00000224916	APOC4-APOC2	19	44942238	44949565
ENSMUSG00000031130	Brs3	ENSG00000102239	BRS3	X	136487947	136493780
ENSMUSG00000030976	Tex36	ENSG00000175018	TEX36	10	125576522	125683144
ENSMUSG00000026434	Nucks1	ENSG00000069275	NUCKS1	1	205712822	205750182
ENSMUSG00000052726	Kcnt2	ENSG00000162687	KCNT2	1	196225779	196609225
ENSMUSG00000034235	Usp54	ENSG00000166348	USP54	10	73497538	73625953
ENSMUSG00000025420	Katnal2	ENSG00000167216	KATNAL2	18	46917492	47102243
ENSMUSG00000026380	Tfcp2l1	ENSG00000115112	TFCP2L1	2	121216587	121285202
ENSMUSG00000024793	Tnfrsf25	ENSG00000215788	TNFRSF25	1	6460786	6466195
ENSMUSG00000037172	E330009J07Rik	ENSG00000257093	KIAA1147	7	141656728	141702166
ENSMUSG00000027792	Bche	ENSG00000114200	BCHE	3	165772904	165837462
ENSMUSG00000025651	Uqcrc1	ENSG00000010256	UQCRC1	3	48599002	48610976
ENSMUSG00000017832	Hspb9	ENSG00000260325	HSPB9	17	42121431	42123352
ENSMUSG00000038042	Ptpdc1	ENSG00000158079	PTPDC1	9	94030794	94109856
ENSMUSG00000034773	BC030867	ENSG00000125319	C17orf53	17	44141906	44162476
ENSMUSG00000103800	Pcdha8	ENSG00000204961	PCDHA9	5	140847463	141012344
ENSMUSG00000103800	Pcdha8	ENSG00000204963	PCDHA7	5	140834248	141012347
ENSMUSG00000022756	Slc7a4	ENSG00000099960	SLC7A4	22	21028718	21032840
ENSMUSG00000019173	Rab5c	ENSG00000108774	RAB5C	17	42124976	42155044
ENSMUSG00000051599	Pcdhb2	ENSG00000112852	PCDHB2	5	141094578	141098703
ENSMUSG00000027490	E2f1	ENSG00000101412	E2F1	20	33675477	33686385
ENSMUSG00000035992	Fnip1	ENSG00000217128	FNIP1	5	131641714	131797063
ENSMUSG00000005575	Ube2m	ENSG00000130725	UBE2M	19	58555712	58558960
ENSMUSG00000046191	Pcdhb20	ENSG00000120327	PCDHB14	5	141222932	141227759
ENSMUSG00000061171	Slc38a11	ENSG00000169507	SLC38A11	2	164896186	164955525
ENSMUSG00000003617	Cp	ENSG00000047457	CP	3	149162410	149221829
ENSMUSG00000041028	Ghitm	ENSG00000165678	GHITM	10	84139509	84153568
ENSMUSG00000026701	Prdx6	ENSG00000117592	PRDX6	1	173477330	173488815
ENSMUSG00000109293	Dcst2	ENSG00000163354	DCST2	1	155018520	155033781
ENSMUSG00000031390	Avpr2	ENSG00000126895	AVPR2	X	153902531	153907166
ENSMUSG00000034175	Rhbdd3	ENSG00000100263	RHBDD3	22	29259872	29268209
ENSMUSG00000012535	Tnpo3	ENSG00000064419	TNPO3	7	128954180	129055173
ENSMUSG00000016308	Ube2a	ENSG00000077721	UBE2A	X	119574536	119591083
ENSMUSG00000045812	Olfr984	ENSG00000171014	OR4D5	11	123939543	123940637
ENSMUSG00000034768	Asb16	ENSG00000161664	ASB16	17	44170447	44179083
ENSMUSG00000032114	Slc37a4	ENSG00000137700	SLC37A4	11	119024114	119030906
ENSMUSG00000022679	Mpv17l	ENSG00000156968	MPV17L	16	15395754	15413271
ENSMUSG00000034168	Irf2bpl	ENSG00000119669	IRF2BPL	14	77024543	77028708
ENSMUSG00000031388	Naa10	ENSG00000102030	NAA10	X	153929225	153935080
ENSMUSG00000070284	Gmppb	ENSG00000173540	GMPPB	3	49716844	49723951
ENSMUSG00000021367	Edn1	ENSG00000078401	EDN1	6	12290361	12297194
ENSMUSG00000020193	Zpbp	ENSG00000042813	ZPBP	7	49850421	50121329
